"","Subject","Register","ArticulationS","ChildSex","ChildAge","First_child"
"1","AF","ADS",0.760154636685958,"m",20,"No"
"2","AN","ADS",-1.2895679178943,"m",22,"Yes"
"3","CL","ADS",-0.859148394435229,"f",16,"No"
"4","DM","ADS",-0.814788794457906,"m",12,"No"
"5","IA","ADS",0.797796106845891,"f",23,"No"
"6","JA","ADS",1.20383653710444,"m",24,"Yes"
"7","JE","ADS",-0.988897925961868,"f",21,"Yes"
"8","KA","ADS",0.307615425588298,"m",14,"No"
"9","KV","ADS",-1.14327636022108,"m",16,"Yes"
"10","LK","ADS",0.605761472887447,"m",16,"Yes"
"11","LM","ADS",-0.133943038368716,"m",12,"Yes"
"12","LV","ADS",-1.04381183066222,"m",16,"Yes"
"13","MA","ADS",1.86099583812562,"f",23,"No"
"14","ME","ADS",-0.167428092884256,"m",12,"Yes"
"15","MPS","ADS",-0.531843492616998,"f",14,"No"
"16","MS","ADS",-0.103346912593002,"f",23,"Yes"
"17","MV","ADS",-0.561228790188822,"m",16,"Yes"
"18","PV","ADS",1.61604075183667,"m",11,"Yes"
"19","RV","ADS",-1.01308270497876,"f",11,"No"
"20","SA","ADS",-0.0387715428650464,"f",15,"No"
"21","SAF","ADS",0.798705589026209,"m",19,"No"
"22","SC","ADS",-0.109219837402313,"f",19,"No"
"23","TL","ADS",0.54242348173582,"m",11,"No"
"24","TM","ADS",0.305025795694168,"f",24,"Yes"
"25","AF","IDS",2.06538673379213,"m",20,"No"
"26","AN","IDS",-2.2236212408758,"m",22,"Yes"
"27","CL","IDS",-0.418208532808814,"f",16,"No"
"28","DM","IDS",-0.599143101867464,"m",12,"No"
"29","IA","IDS",-0.303957506369868,"f",23,"No"
"30","JA","IDS",-2.23405927348311,"m",24,"Yes"
"31","JE","IDS",-0.991544796318423,"f",21,"Yes"
"32","KA","IDS",-0.914619981893128,"m",14,"No"
"33","KV","IDS",-1.55187780823127,"m",16,"Yes"
"34","LK","IDS",-1.43603395762182,"m",16,"Yes"
"35","LM","IDS",-0.020993290791113,"m",12,"Yes"
"36","LV","IDS",-0.361517387707898,"m",16,"Yes"
"37","MA","IDS",0.328240365258865,"f",23,"No"
"38","ME","IDS",-1.13054664075149,"m",12,"Yes"
"39","MPS","IDS",-1.07891990829843,"f",14,"No"
"40","MS","IDS",-0.878398531946611,"f",23,"Yes"
"41","MV","IDS",0.430231453984802,"m",16,"Yes"
"42","PV","IDS",0.585494459544367,"m",11,"Yes"
"43","RV","IDS",-0.197223071771901,"f",11,"No"
"44","SA","IDS",-1.93316273039097,"f",15,"No"
"45","SAF","IDS",-0.210612196622477,"m",19,"No"
"46","SC","IDS",-0.368385183491289,"f",19,"No"
"47","TL","IDS",-2.00480392408527,"m",11,"No"
"48","TM","IDS",-1.14027347667247,"f",24,"Yes"
